CD_MAKE_VEH1,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,TOTAL1
H DAV ,      ,SIL,9
H DAV ,      ,WHI,8
H DAV ,      ,YLW,2
H MADE,      ,BLK,3
H MADE,      ,BLU,6
H MADE,      ,GLD,1
H MADE,      ,GRN,2
H MADE,      ,GRY,1
H MADE,      ,MRN,2
H MADE,      ,OGE,1
H MADE,      ,PUR,2
H MADE,      ,RED,7
H MADE,      ,WHI,2
H MADE,      ,YLW,5
HAFL  ,      ,FWN,1
HAFL  ,      ,GRN,1
HAFL  ,      ,GRY,1
HAKO  ,      ,OGE,1
HAKO  ,      ,WHI,1
HALLA ,      ,YLW,1
HAMM  ,      ,OGE,10
HAMM  ,      ,RED,3
HANDYM,      ,YLW,1
HANGCH,      ,RED,3
HANOM ,      ,RED,1
HARDI ,      ,RED,1
HAULOT,      ,YLW,2
HAVAL ,      ,BLK,1
HAVAL ,      ,BLU,1
HELLBO,      ,RED,1
HESSTN,      ,RED,2
HIGER ,      ,WHI,23
HILL  ,      ,BLU,2
HILL  ,      ,FWN,1
HILL  ,      ,GRN,7
HILL  ,      ,GRY,1
HILL  ,      ,MRN,1
HILL  ,      ,RED,1
HILL  ,      ,WHI,3
HILL  ,      ,YLW,2
HINO  ,      ,BLK,1
HINO  ,      ,BLU,4
HINO  ,      ,BRN,4
HINO  ,      ,CRM,1
HINO  ,      ,FWN,31
HINO  ,      ,GRN,4
HINO  ,      ,GRY,9
HINO  ,      ,RED,69
HINO  ,      ,SIL,2
HINO  ,      ,WHI,374
HINO  ,      ,YLW,11
HITACH,      ,OGE,12
HOLAND,      ,BLU,5
HOLAND,      ,YLW,3
HOLDEN,      ,BLK,235
HOLDEN,      ,BLU,1042
HOLDEN,      ,BRN,345
HOLDEN,      ,CRM,161
HOLDEN,      ,FWN,232
HOLDEN,      ,GLD,236
HOLDEN,      ,GRN,808
HOLDEN,      ,GRY,343
HOLDEN,      ,MRN,85
HOLDEN,      ,MVE,3
HOLDEN,      ,OGE,103
HOLDEN,      ,PNK,16
HOLDEN,      ,PUR,58
HOLDEN,      ,RED,645
HOLDEN,      ,SIL,327
HOLDEN,      ,WHI,1667
HOLDEN,      ,YLW,393
HONDA ,      ,   ,2
HONDA ,      ,BLK,60
HONDA ,      ,BLU,62
HONDA ,      ,BRN,7
HONDA ,      ,FWN,6
HONDA ,      ,GLD,13
HONDA ,      ,GRN,12
HONDA ,      ,GRY,23
HONDA ,      ,MRN,7
HONDA ,      ,OGE,8
HONDA ,      ,PUR,1
HONDA ,      ,RED,343
HONDA ,      ,SIL,78
HONDA ,      ,WHI,118
HONDA ,      ,YLW,6
HORBAG,      ,GRN,1
HORBAG,      ,RED,1
HORWD ,      ,GRN,1
HORWD ,      ,YLW,1
HOUGH ,      ,YLW,2
HSQVRN,      ,RED,1
HSQVRN,      ,YLW,2
HUAXIA,      ,RED,1
HUDSON,      ,BLK,1
HUDSON,      ,BLU,4
HUDSON,      ,BRN,1
HUMBER,      ,BLK,3
HUMBER,      ,BLU,2
HUMBER,      ,BRN,1
HUMBER,      ,GRN,7
HUMBER,      ,GRY,10
HUMBER,      ,MRN,1
HUMBER,      ,WHI,6
HUMMA ,      ,BLK,1
HUMMER,      ,WHI,1
HUST  ,      ,YLW,1
HYDREM,      ,YLW,2
HYNDAI,      ,BLK,151
HYNDAI,      ,BLU,186
HYNDAI,      ,BRN,6
HYNDAI,      ,FWN,6
HYNDAI,      ,GLD,4
HYNDAI,      ,GRN,13
HYNDAI,      ,GRY,84
HYNDAI,      ,MRN,3
HYNDAI,      ,OGE,4
HYNDAI,      ,PUR,4
HYNDAI,      ,RED,145
HYNDAI,      ,SIL,330
HYNDAI,      ,WHI,450
HYNDAI,      ,YLW,17
HYSTER,      ,BLU,2
HYSTER,      ,GRN,2
HYSTER,      ,RED,1
HYSTER,      ,WHI,1
HYSTER,      ,YLW,46
I RAND,      ,BLU,1
I RAND,      ,FWN,1
I RAND,      ,WHI,2
I RAND,      ,YLW,5
I V I ,      ,YLW,1
ILINGA,      ,RED,1
INDCON,      ,BLK,12
INDCON,      ,BLU,4
INDCON,      ,GRN,2
INDCON,      ,GRY,1
INDCON,      ,MRN,2
INDCON,      ,PUR,2
INDCON,      ,RED,5
INDCON,      ,SIL,4
INDCON,      ,WHI,3
INDIAN,      ,BLK,2
INDIAN,      ,RED,1
INFNTI,      ,BLK,1
INFNTI,      ,BRN,1
INTERN,      ,BLK,7
INTERN,      ,BLU,103
INTERN,      ,BRN,23
INTERN,      ,CRM,34
INTERN,      ,FWN,119
INTERN,      ,GLD,13
INTERN,      ,GRN,188
INTERN,      ,GRY,39
INTERN,      ,MRN,3
INTERN,      ,OGE,37
INTERN,      ,PNK,2
INTERN,      ,RED,1320
INTERN,      ,WHI,443
INTERN,      ,YLW,99
ISEKI ,      ,BLK,2
ISEKI ,      ,BLU,125
ISEKI ,      ,RED,1
ISUZU ,      ,BEI,1
ISUZU ,      ,BLK,4
ISUZU ,      ,BLU,13
ISUZU ,      ,BRN,5
ISUZU ,      ,CRM,7
ISUZU ,      ,FWN,2
ISUZU ,      ,GRN,8
ISUZU ,      ,GRY,9
ISUZU ,      ,OGE,8
ISUZU ,      ,RED,72
ISUZU ,      ,SIL,15
ISUZU ,      ,WHI,732
ISUZU ,      ,YLW,40
IVECO ,      ,GRN,1
IVECO ,      ,GRY,2
IVECO ,      ,RED,3
IVECO ,      ,SIL,1
IVECO ,      ,WHI,147
IVECO ,      ,YLW,1
J C B ,      ,BLU,1
J C B ,      ,GLD,1
J C B ,      ,YLW,76
J DEER,      ,BLU,2
J DEER,      ,BRN,1
J DEER,      ,CRM,1
J DEER,      ,GLD,1
J DEER,      ,GRN,1381
J DEER,      ,GRY,7
J DEER,      ,OGE,2
J DEER,      ,RED,2
J DEER,      ,YLW,66
J L G ,      ,OGE,5
J L G ,      ,RED,1
J L G ,      ,WHI,1
J S A ,      ,YLW,1
JAGUAR,      ,BLK,16
JAGUAR,      ,BLU,67
JAGUAR,      ,BRN,25
JAGUAR,      ,CRM,16
JAGUAR,      ,FWN,10
JAGUAR,      ,GLD,12
JAGUAR,      ,GRN,37
JAGUAR,      ,GRY,47
JAGUAR,      ,MRN,11
JAGUAR,      ,PNK,1
JAGUAR,      ,PUR,1
JAGUAR,      ,RED,68
JAGUAR,      ,SIL,16
JAGUAR,      ,WHI,94
JAGUAR,      ,YLW,17
JAWA  ,      ,RED,1
JEEP  ,      ,BLK,85
JEEP  ,      ,BLU,20
JEEP  ,      ,BRN,7
JEEP  ,      ,CRM,4
JEEP  ,      ,FWN,6
JEEP  ,      ,GLD,2
JEEP  ,      ,GRN,11
JEEP  ,      ,GRY,50
JEEP  ,      ,KHA,1
JEEP  ,      ,RED,32
JEEP  ,      ,SIL,32
JEEP  ,      ,WHI,80
JEEP  ,      ,YLW,5
JENSEN,      ,BLU,4
JENSEN,      ,BRN,1
JENSEN,      ,GLD,1
JENSEN,      ,GRN,1
